118, Gyroscope, 349240.6082, -0.009837, -0.121953, 0.019119
119, Accelerometer, 349240.6082, -0.010101, 0.010320, 0.002309
120, Gravity, 349240.6082, -0.020813, -0.998586, -0.048925
121, Motion, 349240.6082
122, Gyroscope, 349240.6710, 0.009098, -0.114836, 0.029511
123, Accelerometer, 349240.6710, 0.004052, 0.002297, 0.020913
124, Gravity, 349240.6710, -0.021081, -0.998528, -0.049965
125, Motion, 349240.6710
126, Frame, 349240.6765, 11
127, Gyroscope, 349240.7337, -0.025069, -0.130542, 0.053101
128, Accelerometer, 349240.7337, 0.003864, -0.004009, -0.005344
129, Gravity, 349240.7337, -0.023213, -0.998509, -0.049404
130, Motion, 349240.7337
131, Heading, 349240.8021, 87.6878, 111.2185
132, Gyroscope, 349240.7965, 0.004538, -0.081542, 0.041418
133, Accelerometer, 349240.7965, -0.009387, 0.008653, 0.007813
134, Gravity, 349240.7965, -0.026562, -0.998491, -0.048066
135, Motion, 349240.7965
136, Frame, 349240.8099, 12
137, Gyroscope, 349240.8592, -0.001543, -0.124139, 0.030987
138, Accelerometer, 349240.8592, 0.000410, -0.004303, 0.000779
139, Gravity, 349240.8592, -0.028867, -0.998260, -0.051407
140, Motion, 349240.8592
141, Gyroscope, 349240.9220, -0.042991, -0.135090, -0.003782
142, Accelerometer, 349240.9220, -0.006777, 0.006479, 0.037079
143, Gravity, 349240.9220, -0.031003, -0.998269, -0.049972
144, Motion, 349240.9220
145, Heading, 349240.9833, 88.6878, 112.2185
146, Gyroscope, 349240.9847, -0.000474, -0.127086, 0.002904
147, Accelerometer, 349240.9847, -0.003554, 0.001486, 0.000484
148, Gravity, 349240.9847, -0.032442, -0.998190, -0.050640
149, Motion, 349240.9847
150, Frame, 349240.9767, 13
151, Gyroscope, 349241.0475, -0.021620, -0.065906, -0.034672
152, Accelerometer, 349241.0475, -0.005065, -0.010856, 0.006932
153, Gravity, 349241.0475, -0.032167, -0.998192, -0.050770
154, Motion, 349241.0475
155, Gyroscope, 349241.1102, -0.041946, -0.218864, 0.027226
156, Accelerometer, 349241.1102, -0.003221, -0.005283, 0.012552
157, Gravity, 349241.1102, -0.034391, -0.998059, -0.051920
158, Motion, 349241.1102
159, Heading, 349241.1657, 89.6878, 113.2185
160, Frame, 349241.1101, 14
