104, Motion, 356029.6583
105, Heading, 356029.7072, 32.9947, 56.5257
106, Gyroscope, 356029.7211, -0.028134, -0.270181, -0.049054
107, Accelerometer, 356029.7211, -0.009023, 0.008547, -0.026020
108, Gravity, 356029.7211, -0.005091, -0.994265, -0.106823
109, Motion, 356029.7211
110, Frame, 356029.7427, 10
111, Gyroscope, 356029.7839, -0.038246, -0.170579, -0.022610
112, Accelerometer, 356029.7839, -0.000683, -0.000972, 0.035864
113, Gravity, 356029.7839, -0.003894, -0.994435, -0.105276
114, Motion, 356029.7839
115, Heading, 356029.8338, 33.9947, 57.5257
116, Gyroscope, 356029.8467, -0.039636, -0.220342, -0.035535
117, Accelerometer, 356029.8467, 0.008153, -0.001475, -0.010959
118, Gravity, 356029.8467, -0.002339, -0.993963, -0.109692
119, Motion, 356029.8467
120, Heading, 356029.9371, 34.9947, 58.5257
121, Gyroscope, 356029.9094, -0.060587, -0.179278, 0.002935
122, Accelerometer, 356029.9094, 0.000754, -0.004391, 0.010972
123, Gravity, 356029.9094, -0.001486, -0.994068, -0.108750
124, Motion, 356029.9094
125, Frame, 356029.9095, 11
126, Gyroscope, 356029.9722, -0.014611, -0.163574, -0.015533
127, Accelerometer, 356029.9722, -0.006480, 0.008151, 0.011912
128, Gravity, 356029.9722, -0.003332, -0.993823, -0.110927
129, Motion, 356029.9722
130, Heading, 356030.0158, 35.9947, 59.5257
131, Gyroscope, 356030.0350, -0.005266, -0.197725, -0.009807
132, Accelerometer, 356030.0350, -0.010353, -0.001902, -0.021138
133, Gravity, 356030.0350, -0.004280, -0.993780, -0.111278
134, Motion, 356030.0350
135, Frame, 356030.0429, 12
136, Gyroscope, 356030.0978, 0.082889, -0.194314, -0.091379
137, Accelerometer, 356030.0978, -0.019966, 0.007963, -0.001576
138, Gravity, 356030.0978, -0.004799, -0.993742, -0.111598
139, Motion, 356030.0978
140, Gyroscope, 356030.1605, -0.021592, -0.136354, -0.013328
141, Accelerometer, 356030.1605, 0.053989, -0.015750, -0.022342
142, Gravity, 356030.1605, -0.001468, -0.993970, -0.109646
143, Motion, 356030.1605
144, Frame, 356030.1763, 13
145, Gyroscope, 356030.2233, 0.023514, -0.085410, 0.018821
146, Accelerometer, 356030.2233, 0.024722, -0.002335, 0.016999
147, Gravity, 356030.2233, -0.002123, -0.994048, -0.108918
148, Motion, 356030.2233
149, Gyroscope, 356030.2861, 0.072020, -0.059563, 0.035914
150, Accelerometer, 356030.2861, 0.014995, -0.006778, -0.029101
151, Gravity, 356030.2861, -0.004649, -0.994183, -0.107602
152, Motion, 356030.2861
153, Gyroscope, 356030.3489, 0.003272, -0.169621, 0.042016
154, Accelerometer, 356030.3489, -0.028509, 0.011726, -0.006302
155, Gravity, 356030.3489, -0.009714, -0.994346, -0.105743
156, Motion, 356030.3489
157, Frame, 356030.3430, 14
158, Gyroscope, 356030.4117, 0.056309, -0.125102, -0.005132
159, Accelerometer, 356030.4117, 0.034829, -0.007351, -0.006146
160, Gravity, 356030.4117, -0.010339, -0.994465, -0.104556
161, Motion, 356030.4117
162, Gyroscope, 356030.4744, 0.003177, -0.115680, -0.028891
163, Accelerometer, 356030.4744, -0.031465, 0.003919, 0.015059
164, Gravity, 356030.4744, -0.011550, -0.994642, -0.102736
165, Motion, 356030.4744
166, Frame, 356030.4764, 15
167, Gyroscope, 356030.5372, 0.018751, -0.031141, -0.038253
168, Accelerometer, 356030.5372, 0.028317, -0.007968, 0.018319
169, Gravity, 356030.5372, -0.008740, -0.994779, -0.101677
170, Motion, 356030.5372
171, Gyroscope, 356030.6000, -0.004827, -0.019292, -0.045591
172, Accelerometer, 356030.6000, -0.002822, 0.006394, -0.005255
173, Gravity, 356030.6000, -0.006868, -0.994644, -0.103128
174, Motion, 356030.6000
175, Frame, 356030.6098, 16
176, Gyroscope, 356030.6628, -0.088519, -0.082026, 0.019334
177, Accelerometer, 356030.6628, 0.012726, 0.002719, 0.007959
178, Gravity, 356030.6628, -0.005234, -0.994495, -0.104654
179, Motion, 356030.6628
180, Heading, 356030.7125, 36.9947, 60.5257
181, Gyroscope, 356030.7255, -0.048559, -0.093507, -0.005332
182, Accelerometer, 356030.7255, -0.012390, 0.002080, -0.006790
183, Gravity, 356030.7255, -0.006500, -0.993902, -0.110077
184, Motion, 356030.7255
185, Frame, 356030.7432, 17
186, Gyroscope, 356030.7883, -0.007108, -0.065689, -0.007144
